datetime,wind_speed,wind_gusts_10m_ms,temperature_2m_c,relative_humidity_2m,wind_dir_sin,wind_dir_cos
2025-11-24 16:50:32.212835+00:00,0.41,1.94,-0.76,98,0.9998476951563912,-0.0174524064372834
2025-11-24 17:21:29.309823+00:00,0.41,1.94,-0.76,98,0.9998476951563912,-0.0174524064372834
2025-11-24 18:34:29.905674+00:00,0.61,0.53,-0.76,98,0.984807753012208,-0.1736481776669303
2025-11-24 19:16:21.149582+00:00,0.84,1.67,-0.97,97,0.9271838545667874,-0.374606593415912
2025-11-24 20:26:33.165173+00:00,1.32,5.54,-0.84,95,0.2419218955996677,-0.9702957262759964
2025-11-24 21:21:42.000787+00:00,1.67,5.78,-0.84,95,-0.4226182617406993,-0.90630778703665
2025-11-24 22:21:29.275077+00:00,1.43,6.17,-0.84,95,0.0348994967025011,-0.9993908270190958
2025-11-24 23:20:54.068278+00:00,2.02,7.16,8.38,89,-0.7193398003386512,-0.6946583704589973
2025-11-25 01:48:47.343810+00:00,1.61,5.71,-0.84,96,-0.6293203910498376,-0.7771459614569708
2025-11-25 03:17:00.456993+00:00,1.66,5.54,-0.84,95,-0.2923717047227364,-0.9563047559630355
2025-11-25 04:28:50.526984+00:00,2.02,6.02,-0.84,96,-0.7986355100472928,-0.6018150231520483
2025-11-25 05:23:55.281098+00:00,1.68,4.73,-0.84,96,-0.2923717047227364,-0.9563047559630355
2025-11-25 06:35:38.723420+00:00,1.47,3.77,6.79,87,-0.9563047559630352,-0.2923717047227371
2025-11-25 07:22:22.835130+00:00,0.49,2.13,-0.19,99,-0.601815023152048,-0.798635510047293
2025-11-25 08:32:03.760016+00:00,0.49,1.85,2.63,93,0.981627183447664,0.1908089953765449
2025-11-25 09:26:55.600561+00:00,1.25,2.33,2.2,94,0.1391731009600654,0.9902680687415704
2025-11-25 10:27:27.132230+00:00,1.59,0.86,2.55,95,-0.1391731009600658,0.9902680687415704
2025-11-25 11:20:24.887151+00:00,1.36,0.7,3.11,95,0.4383711467890774,0.898794046299167
2025-11-25 12:49:06.503032+00:00,1.97,1.32,3.61,94,0.4999999999999999,0.8660254037844387
2025-11-25 13:35:44.231682+00:00,1.61,1.1,4.27,92,0.5299192642332049,0.848048096156426
2025-11-25 14:24:03.210836+00:00,1.61,1.1,4.35,89,0.5299192642332049,0.848048096156426
2025-11-25 15:25:53.628003+00:00,1.01,0.8,3.41,90,0.1736481776669303,0.984807753012208
2025-11-25 16:31:36.312963+00:00,1.23,1.29,1.97,93,-0.945518575599317,0.3255681544571563
2025-11-25 17:22:12.270485+00:00,1.23,1.29,2.39,90,-0.945518575599317,0.3255681544571563
2025-11-25 18:34:53.572631+00:00,1.16,1.28,0.92,91,-0.9902680687415704,0.1391731009600654
2025-11-25 19:19:25.515361+00:00,1.27,0.94,1.98,87,-0.7880107536067221,-0.6156614753256581
2025-11-25 20:26:11.353653+00:00,1.35,0.77,-0.19,94,-0.5735764363510458,-0.819152044288992
2025-11-25 21:20:58.063173+00:00,1.34,0.76,1.98,87,-0.6427876096865393,-0.766044443118978
2025-11-25 22:22:45.675651+00:00,1.63,1.03,2.29,82,-0.7313537016191701,-0.6819983600624989
2025-11-25 23:20:44.157538+00:00,1.75,1.12,1.98,79,-0.7986355100472928,-0.6018150231520483
2025-11-26 01:48:38.350487+00:00,1.38,0.76,1.23,84,-0.9455185755993168,-0.3255681544571566
2025-11-26 03:16:55.748270+00:00,1.38,0.83,1.78,80,-0.9945218953682734,-0.1045284632676533
2025-11-26 04:29:16.253007+00:00,1.45,0.83,1.78,78,-0.9743700647852352,-0.2249510543438652
2025-11-26 05:23:02.038751+00:00,1.16,0.39,1.28,80,-0.9998476951563912,0.0174524064372831
2025-11-26 06:35:07.738768+00:00,0.85,0.62,1.78,78,-0.891006524188368,0.4539904997395466
2025-11-26 07:21:50.263388+00:00,0.55,0.45,2.04,80,-0.9135454576426008,0.4067366430758005
2025-11-26 09:27:02.467391+00:00,0.99,1.73,3.59,76,0.0871557427476581,0.9961946980917455
2025-11-26 10:26:28.279547+00:00,1.98,4.03,2.92,76,0.6156614753256582,0.788010753606722
2025-11-26 11:20:07.481437+00:00,2.57,5.96,5.86,78,0.7313537016191705,0.6819983600624985
2025-11-26 12:50:10.707834+00:00,2.8,5.56,6.8,73,0.4539904997395467,0.8910065241883679
2025-11-26 13:36:20.252580+00:00,1.73,5.42,5.86,79,0.4383711467890774,0.898794046299167
2025-11-26 14:24:24.324982+00:00,1.73,5.42,5.89,80,0.4383711467890774,0.898794046299167
2025-11-26 15:22:37.205763+00:00,1.02,5.19,4.8,86,-0.7431448254773946,0.6691306063588578
2025-11-26 16:30:11.994856+00:00,1.27,1.23,4.22,88,-0.6156614753256588,0.7880107536067216
2025-11-26 17:20:59.730660+00:00,1.57,1.53,3.64,87,-0.6018150231520483,0.7986355100472928
2025-11-26 18:29:57.124226+00:00,1.59,3.87,2.36,85,-0.8090169943749476,0.5877852522924729
2025-11-26 19:18:05.758256+00:00,1.77,4.71,3.66,91,-0.891006524188368,0.4539904997395466
2025-11-26 20:25:08.492909+00:00,2.12,7.42,3.64,92,-0.0871557427476583,0.9961946980917455
2025-11-26 21:20:06.143284+00:00,2.36,7.89,3.23,89,-0.3583679495453007,0.9335804264972016
2025-11-26 22:21:50.980083+00:00,2.29,7.04,2.55,94,-0.3420201433256686,0.9396926207859084
2025-11-26 23:20:46.745673+00:00,1.81,3.69,2.52,94,-0.5000000000000004,0.8660254037844384
2025-11-27 01:46:38.721609+00:00,2.03,5.74,2.02,94,-0.6691306063588581,0.7431448254773942
2025-11-27 03:13:30.446086+00:00,2.02,5.62,1.52,94,-0.6018150231520483,0.7986355100472928
2025-11-27 04:28:13.225193+00:00,2.03,5.93,0.97,93,-0.3583679495453007,0.9335804264972016
2025-11-27 05:23:43.636184+00:00,2.18,6.54,0.38,92,-0.2588190451025207,0.9659258262890684
2025-11-27 06:35:43.299149+00:00,2.29,6.99,-0.73,93,-0.3090169943749476,0.9510565162951536
2025-11-27 07:23:29.674625+00:00,2.64,7.57,-0.73,95,-0.4694715627858908,0.8829475928589269
2025-11-27 08:32:05.993056+00:00,2.93,7.71,0.42,95,0.2419218955996677,0.9702957262759964
2025-11-27 09:26:03.123437+00:00,2.93,7.71,2.91,83,0.2419218955996677,0.9702957262759964
2025-11-27 10:26:11.742898+00:00,2.92,6.34,4.55,79,0.4539904997395467,0.8910065241883679
2025-11-27 11:20:12.034826+00:00,2.81,5.68,4.61,77,0.2419218955996677,0.9702957262759964
2025-11-27 12:48:53.134650+00:00,3.28,5.81,5.17,76,0.1045284632676534,0.9945218953682732
2025-11-27 13:33:52.119863+00:00,2.95,6.02,5.23,73,0.3090169943749474,0.9510565162951536
2025-11-27 14:23:10.588166+00:00,2.95,6.02,4.97,72,0.3090169943749474,0.9510565162951536
2025-11-27 15:23:54.168299+00:00,2.14,5.0,4.37,74,-0.1391731009600658,0.9902680687415704
2025-11-27 16:28:39.087813+00:00,1.74,2.23,3.19,75,-0.5000000000000004,0.8660254037844384
2025-11-27 17:19:05.972715+00:00,1.62,1.91,1.52,80,-0.7547095802227722,0.656059028990507
2025-11-27 18:31:22.975051+00:00,1.52,2.04,0.35,86,-0.7547095802227722,0.656059028990507
2025-11-27 19:17:36.110518+00:00,1.89,4.89,0.35,86,-0.5299192642332058,0.8480480961564254
2025-11-27 20:22:44.014689+00:00,2.01,5.15,-0.22,88,-0.6293203910498378,0.7771459614569706
2025-11-27 21:19:55.407933+00:00,2.01,5.35,-0.76,89,-0.6560590289905074,0.7547095802227719
2025-11-27 22:21:14.384810+00:00,1.65,4.65,-0.78,89,-0.6819983600624983,0.7313537016191707
2025-11-27 23:20:25.899613+00:00,1.71,3.54,-0.74,90,-0.8386705679454243,0.5446390350150266
2025-11-28 01:46:28.752807+00:00,1.33,1.75,-1.29,90,-0.9510565162951536,0.3090169943749472
2025-11-28 03:13:24.553374+00:00,1.41,1.52,-1.3,91,-0.945518575599317,0.3255681544571563
2025-11-28 04:27:39.021822+00:00,1.46,0.92,-1.3,91,-0.891006524188368,0.4539904997395466
2025-11-28 05:23:36.298349+00:00,1.43,1.35,-1.29,91,-0.8660254037844386,0.5000000000000001
2025-11-28 06:35:37.372223+00:00,1.44,1.24,-1.86,92,-0.992546151641322,0.1218693434051476
2025-11-28 07:22:24.196913+00:00,1.56,1.62,-1.3,92,-0.9876883405951378,0.1564344650402306
2025-11-28 08:31:36.717715+00:00,1.83,4.05,-0.19,91,-0.2923717047227362,0.9563047559630355
2025-11-28 09:24:03.756875+00:00,1.83,4.05,1.97,84,-0.2923717047227362,0.9563047559630355
2025-11-28 10:25:50.578404+00:00,2.06,3.9,3.69,78,-0.3090169943749476,0.9510565162951536
2025-11-28 11:19:52.151719+00:00,2.08,3.48,5.39,69,-0.2923717047227362,0.9563047559630355
2025-11-28 12:46:57.314016+00:00,1.86,2.78,6.23,64,-0.5299192642332058,0.8480480961564254
2025-11-28 13:32:08.446160+00:00,1.86,2.78,6.38,68,-0.5299192642332058,0.8480480961564254
2025-11-28 14:23:02.247809+00:00,1.44,2.27,6.54,63,-0.6293203910498378,0.7771459614569706
2025-11-28 15:23:50.309167+00:00,1.0,0.84,4.19,74,-0.8829475928589271,0.4694715627858904
2025-11-28 16:28:34.507391+00:00,1.18,0.78,1.44,83,-0.9396926207859082,-0.3420201433256694
2025-11-28 17:19:40.801687+00:00,1.74,1.2,0.92,86,-0.8987940462991668,-0.4383711467890777
2025-11-28 18:31:32.940726+00:00,2.09,1.11,1.99,76,-0.587785252292473,-0.8090169943749476
2025-11-28 19:17:52.350483+00:00,2.33,1.3,1.73,78,-0.6946583704589974,-0.7193398003386511
2025-11-28 20:24:48.516218+00:00,2.07,1.24,1.73,73,-0.7071067811865475,-0.7071067811865477
2025-11-28 21:19:26.820398+00:00,1.81,1.07,-0.19,90,-0.7071067811865475,-0.7071067811865477
2025-11-28 22:20:17.502673+00:00,1.62,0.92,-0.18,82,-0.882947592858927,-0.4694715627858907
2025-11-28 23:20:17.610230+00:00,1.77,1.17,-0.74,87,-0.7771459614569711,-0.6293203910498372
2025-11-29 01:46:10.658319+00:00,1.89,1.0,-0.74,84,-0.5735764363510458,-0.819152044288992
2025-11-29 03:13:45.475356+00:00,2.06,1.14,-0.74,82,-0.3420201433256686,-0.9396926207859084
2025-11-29 04:27:04.092190+00:00,1.73,0.81,-0.75,73,-0.4694715627858908,-0.8829475928589269
2025-11-29 05:22:02.474962+00:00,1.76,0.93,-0.75,73,-0.4226182617406993,-0.90630778703665
2025-11-29 06:32:19.807880+00:00,1.95,1.25,1.47,52,-0.438371146789077,-0.8987940462991671
2025-11-29 07:20:34.582942+00:00,2.08,1.29,2.03,57,-0.5299192642332048,-0.8480480961564261
2025-11-29 08:28:43.122722+00:00,1.51,0.93,0.36,66,-0.4067366430757998,-0.9135454576426012
2025-11-29 09:22:19.234681+00:00,0.3,0.2,2.04,68,0.544639035015027,-0.8386705679454242
2025-11-29 10:22:11.834974+00:00,0.73,0.24,5.36,61,0.6819983600624985,0.7313537016191706
2025-11-29 11:17:46.532710+00:00,0.89,0.34,6.89,55,0.7986355100472928,0.6018150231520484
